centroid	uniref90	B32_SW	129_VTPPs	CC57c	B91_TPP	ATCC51146	129_MSG	CSUNSWCD	B91_SC	CAM	129_VTPP	B91_SCBr
PROKKA_129_MSG_02250 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CC57c_00507 	UniRef90_B9D5T8|1323	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00504 	No_Uniref	1	1	1	0	0	1	0	0	0	1	0
PROKKA_ATCC51146_01623 	UniRef90_A7ZBL8|858	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01621 	UniRef90_B9CZ80|630	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00148 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_B32_SW_00225 	UniRef90_M5IRL9|747	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_00224 	UniRef90_M3GWU2|627	1	0	0	0	0	0	0	0	0	0	0
PROKKA_ATCC51146_00861 	UniRef90_C6RFL0|516	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_02263 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_01826 	UniRef90_C6RH86|531	0	0	0	0	1	0	0	0	0	0	0
PROKKA_129_MSG_01788 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_B91_SCBr_00330 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CSUNSWCD_01623 	UniRef90_M5ISL2|318	0	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_01533 	UniRef90_B9CZ40|702	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00639 	UniRef90_M5IIA1|777	0	1	0	0	0	1	1	0	0	1	0
PROKKA_CC57c_00328 	UniRef90_B9D4W1|417	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01408 	UniRef90_C6RI60|1947	0	0	0	0	1	0	0	0	0	0	0
PROKKA_ATCC51146_01407 	UniRef90_M3JAP4|591	0	0	1	1	1	0	0	1	1	0	1
PROKKA_ATCC51146_01405 	UniRef90_A7ZCQ4|1098	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01404 	UniRef90_B9D0K0|1332	0	1	1	1	1	1	0	1	1	1	1
PROKKA_ATCC51146_01535 	UniRef90_C6RIM0|909	1	1	0	0	1	1	1	0	1	1	0
PROKKA_CC57c_00321 	UniRef90_M5IHB7|1710	0	0	1	0	0	0	0	0	0	0	0
PROKKA_ATCC51146_01245 	UniRef90_B9D2S9|597	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00218 	UniRef90_M3JFL1|579	0	0	1	1	0	0	0	1	1	0	1
PROKKA_ATCC51146_01246 	UniRef90_B9D2T0|1371	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01717 	UniRef90_B9D3R1|2439	1	1	1	1	1	1	0	1	1	1	1
PROKKA_ATCC51146_01716 	UniRef90_C6RHM0|714	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CC57c_00090 	UniRef90_M3JFX7|300	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02300 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_00990 	No_Uniref	0	0	0	0	0	0	0	0	0	0	1
PROKKA_ATCC51146_01719 	UniRef90_C6RHL4|516	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01718 	UniRef90_M5ILT5|573	0	0	0	0	1	0	0	0	0	0	0
PROKKA_ATCC51146_00664 	UniRef90_M3J8C6|216	0	0	1	0	1	0	0	0	0	0	0
PROKKA_B91_SCBr_00541 	UniRef90_B9D3X7|912	1	1	1	1	1	1	0	1	1	1	1
PROKKA_CC57c_00214 	UniRef90_M5IRH8|618	0	1	1	0	0	1	1	0	0	1	0
PROKKA_CC57c_00215 	UniRef90_M5ILN7|1800	0	1	1	0	0	1	1	0	0	1	0
PROKKA_B91_SCBr_00972 	UniRef90_B9D3V1|693	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00971 	UniRef90_B9D3U9|984	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01739 	UniRef90_M5IHA0|444	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_00977 	UniRef90_B9D3V8|360	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00974 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B32_SW_00901 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_00139 	UniRef90_B9D4E3|834	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00979 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CC57c_00845 	UniRef90_M3JDT5|300	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_01071 	UniRef90_M5IQ45|393	1	1	0	0	1	1	1	0	1	1	0
PROKKA_129_MSG_00782 	UniRef90_M5IS37|2460	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00844 	UniRef90_M3IL56|219	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_00787 	UniRef90_B9CZQ6|378	1	1	0	1	1	1	0	1	1	1	1
PROKKA_CAM_01736 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_129_MSG_00784 	UniRef90_C6RHG7|819	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_00053 	UniRef90_M5IKC8|3060	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CC57c_00032 	UniRef90_C6RGP3|1329	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00033 	No_Uniref	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_00376 	UniRef90_A7ZEH3|1755	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_VTPP_02355 	No_Uniref	0	1	0	0	0	0	0	0	0	1	0
PROKKA_B91_SCBr_00370 	UniRef90_M3I097|1836	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00371 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CC57c_00034 	UniRef90_M3I4V2|966	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CAM_00957 	UniRef90_U2GDZ2|777	1	0	0	1	0	0	0	1	1	0	1
PROKKA_CAM_00956 	UniRef90_U2F1W8|1416	1	1	0	1	0	1	0	1	1	1	1
PROKKA_CAM_00305 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_129_MSG_01098 	UniRef90_C6RJ44|753	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01752 	UniRef90_A7ZBN5|426	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00950 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CC57c_00092 	UniRef90_J5KX99|237	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CAM_01397 	UniRef90_B9D1X0|792	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01395 	UniRef90_M3GX26|759	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_02349 	UniRef90_U2GAX6|540	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_00857 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_01332 	UniRef90_M5IH96|576	0	0	0	0	1	0	0	0	0	0	0
PROKKA_129_MSG_01414 	UniRef90_B9D5U2|951	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01417 	UniRef90_C6RET2|561	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00444 	UniRef90_C6REU9|1053	0	0	1	1	1	0	0	1	0	0	1
PROKKA_CAM_01555 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_01556 	UniRef90_B9D261|885	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00410 	UniRef90_B9D4J5|339	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00417 	UniRef90_M3IKR7|282	0	1	1	0	0	1	0	0	0	1	0
PROKKA_CAM_01551 	UniRef90_C6RF98|558	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_00414 	UniRef90_M5INA3|342	1	1	0	0	0	1	1	0	0	1	0
PROKKA_ATCC51146_00448 	UniRef90_U2F7P5|807	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_02195 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_01747 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CC57c_01107 	No_Uniref	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_02009 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CC57c_01101 	UniRef90_M3GYR8|627	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CAM_00238 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B91_SCBr_01237 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CSUNSWCD_02144 	UniRef90_M5ITA9|1116	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01151 	UniRef90_B9D0M3|978	0	1	1	1	1	1	0	1	1	1	1
PROKKA_B91_SCBr_01155 	UniRef90_C6RI79|546	0	1	1	1	1	1	0	1	1	1	1
PROKKA_CSUNSWCD_02143 	UniRef90_M3I185|243	1	1	0	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01939 	UniRef90_M3JF03|870	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00151 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_129_MSG_01320 	UniRef90_M5IQ64|366	1	1	0	0	1	1	1	0	1	1	0
PROKKA_B91_SCBr_01235 	UniRef90_B9D542|1443	0	0	1	1	1	0	0	1	1	0	1
PROKKA_B91_SCBr_00154 	UniRef90_C6RGR1|1965	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01931 	UniRef90_C6RD16|309	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01930 	UniRef90_C6RD15|2163	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01777 	UniRef90_B9D0W3|756	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01772 	UniRef90_C6RCP8|702	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01773 	UniRef90_M5IQZ6|525	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_02092 	UniRef90_A7ZER1|2016	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01525 	UniRef90_M3ILJ8|285	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01254 	UniRef90_C6RI01|2253	0	1	0	0	1	1	0	0	1	1	0
PROKKA_129_MSG_01255 	UniRef90_C6REU4|417	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01520 	UniRef90_C6RFU8|144	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CAM_01173 	UniRef90_B9D3M6|2094	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01170 	UniRef90_B9D3M2|741	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00082 	UniRef90_M3H1N5|2352	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_00307 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_129_MSG_00306 	UniRef90_C8PLJ0|699	0	1	0	0	0	1	0	0	0	1	0
PROKKA_ATCC51146_00284 	UniRef90_C6RE81|552	0	1	0	1	1	1	0	1	1	1	1
PROKKA_129_MSG_00303 	UniRef90_B9D0S6|672	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00280 	UniRef90_C6RE77|906	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_01179 	No_Uniref	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_00080 	UniRef90_M5IP88|663	0	0	1	0	0	0	0	0	0	0	0
PROKKA_ATCC51146_00336 	UniRef90_C6REE3|1038	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B32_SW_01171 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_B32_SW_02343 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_VTPP_00124 	No_Uniref	0	0	0	0	0	0	0	0	0	1	0
PROKKA_CAM_02377 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_01212 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_02240 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_00085 	UniRef90_M3JE18|465	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_00799 	UniRef90_M3JBL7|1239	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00297 	UniRef90_B9CYN7|411	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00794 	UniRef90_U2EHH0|2130	0	0	1	1	1	0	0	1	1	0	1
PROKKA_B91_SCBr_00793 	UniRef90_A7H0L8|1263	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_00790 	UniRef90_C6RE43|1092	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00607 	UniRef90_C6RGX8|3603	1	1	0	0	1	1	1	0	1	1	0
PROKKA_CAM_00606 	UniRef90_C6RGX9|1029	1	1	0	0	1	1	1	0	1	1	0
PROKKA_B91_SCBr_01847 	UniRef90_C6RHU7|207	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_00604 	UniRef90_C6RGY2|3711	0	1	0	0	1	1	0	0	1	0	0
PROKKA_B91_SCBr_01841 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_01840 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_00601 	UniRef90_M5IQ06|3258	1	1	0	0	0	1	1	0	1	1	0
PROKKA_B91_SCBr_01842 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_01609 	UniRef90_M5IQM6|1095	0	1	0	0	0	1	0	0	1	1	0
PROKKA_CAM_02152 	No_Uniref	0	1	0	0	0	1	0	0	1	1	0
PROKKA_B32_SW_02328 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CAM_02154 	No_Uniref	0	1	0	0	0	1	0	0	1	1	0
PROKKA_B91_SCBr_01339 	UniRef90_A7ZDI1|2754	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_02156 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_02345 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_01619 	UniRef90_A7ZC22|609	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_MSG_00540 	UniRef90_G9QVF4|264	1	1	1	0	1	1	1	0	1	1	0
PROKKA_CC57c_00088 	No_Uniref	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_00835 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_129_MSG_00513 	UniRef90_M5IS31|114	1	1	1	0	0	1	1	0	0	1	0
PROKKA_129_VTPP_00389 	UniRef90_M5INJ1|1407	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CAM_02310 	UniRef90_U2EFD4|621	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B91_SCBr_00558 	UniRef90_B9D0A9|210	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00559 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CC57c_01030 	UniRef90_C6RIT1|375	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01744 	UniRef90_M3J958|138	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B91_SCBr_00550 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_B91_SCBr_00551 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_02316 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B91_SCBr_01201 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CAM_00738 	UniRef90_B9CZW4|489	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01206 	UniRef90_B9D4V9|1245	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B91_SCBr_01205 	UniRef90_M3H109|711	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00732 	UniRef90_U2EN12|3600	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00731 	UniRef90_M3J963|96	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_02314 	UniRef90_U2GKQ3|786	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CC57c_00522 	UniRef90_M3H0D5|783	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CAM_00735 	UniRef90_C6RHK7|687	0	0	0	0	1	0	0	0	1	0	0
PROKKA_CAM_00734 	UniRef90_M5IS56|240	1	0	1	1	1	0	0	1	1	0	1
PROKKA_CAM_02194 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CSUNSWCD_01226 	UniRef90_M5IS10|762	1	0	0	0	0	0	1	0	0	0	0
PROKKA_ATCC51146_00393 	UniRef90_C6REK7|126	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CAM_02347 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_00253 	UniRef90_C6RE44|663	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CSUNSWCD_00043 	UniRef90_M5INN4|114	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CAM_02399 	UniRef90_M3ILL2|255	0	0	0	0	0	0	1	0	1	0	0
PROKKA_B32_SW_02286 	No_Uniref	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CC57c_01328 	UniRef90_A0RMQ6|198	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00809 	UniRef90_M5IQ19|408	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00808 	UniRef90_M5IJC2|618	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00807 	UniRef90_M5IPI7|1602	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00806 	UniRef90_M5IR65|774	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00805 	UniRef90_M5IEZ0|4788	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00804 	UniRef90_M5IQ16|210	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00803 	UniRef90_M5IJB8|462	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00802 	UniRef90_M5IPI6|666	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CAM_02395 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CSUNSWCD_00800 	UniRef90_M5IEY3|342	0	1	0	0	0	1	1	0	0	1	0
PROKKA_CC57c_01674 	UniRef90_M3GX15|963	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_01632 	UniRef90_M3GXA0|1566	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_01630 	UniRef90_M3JBL3|1290	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_01025 	UniRef90_C6RF23|993	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CSUNSWCD_00047 	UniRef90_M5IH41|636	0	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_00708 	UniRef90_M5INI3|225	1	0	0	0	0	0	1	0	0	0	0
PROKKA_CC57c_02103 	UniRef90_M3JA75|243	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_02104 	UniRef90_M3J887|276	0	0	1	0	0	0	0	0	0	0	0
PROKKA_ATCC51146_01904 	UniRef90_C6RCK0|321	0	0	0	0	1	0	0	0	0	0	0
PROKKA_CC57c_02106 	UniRef90_M3GVW1|1329	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CC57c_00094 	UniRef90_M3IN38|504	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00797 	UniRef90_M5IPI3|465	0	1	0	0	0	1	1	0	0	1	0
PROKKA_CAM_01959 	UniRef90_M5IH79|1869	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01678 	UniRef90_M3GYF9|282	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00793 	UniRef90_M5IPI0|588	0	1	0	0	0	1	1	0	0	1	0
PROKKA_CSUNSWCD_00045 	UniRef90_M5IPR1|246	0	0	0	0	0	0	1	0	0	0	0
PROKKA_ATCC51146_00368 	UniRef90_M5IPK7|576	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_02075 	UniRef90_M5IQ27|327	1	1	0	0	1	1	1	0	0	1	0
PROKKA_B32_SW_01670 	UniRef90_C6REK6|1113	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_02070 	UniRef90_A7GVW7|1719	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_01955 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CSUNSWCD_00799 	UniRef90_M5IQ13|861	0	1	0	0	0	1	1	0	0	1	0
PROKKA_CSUNSWCD_01313 	UniRef90_B9D4K6|2031	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_VTPP_01076 	UniRef90_M5IK28|189	0	0	0	0	0	0	0	0	0	1	0
PROKKA_CSUNSWCD_00157 	UniRef90_M5INU6|495	1	1	0	0	1	1	1	0	1	1	0
PROKKA_B32_SW_00709 	UniRef90_M5IDF4|396	1	0	0	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00158 	UniRef90_M3GYS2|261	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CC57c_00154 	UniRef90_B9CZJ5|1233	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00049 	UniRef90_M5ICV2|261	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CC57c_01815 	UniRef90_M5IHM2|546	1	1	1	1	1	1	1	1	1	1	1
PROKKA_129_MSG_01164 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_ATCC51146_01017 	UniRef90_M5IKW9|318	0	0	0	1	1	0	0	1	0	0	1
PROKKA_CC57c_02218 	UniRef90_C6RGL4|576	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_01254 	UniRef90_U2F4B8|1194	1	1	1	0	0	1	1	0	1	1	0
PROKKA_CC57c_01257 	UniRef90_U2GG98|210	1	1	1	0	0	1	1	0	1	1	0
PROKKA_CC57c_00103 	UniRef90_M3H1L7|315	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_00366 	UniRef90_B9D1W2|1317	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CC57c_02216 	UniRef90_M3J7V2|684	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_01285 	No_Uniref	0	0	0	0	0	0	1	0	0	0	0
PROKKA_129_MSG_01166 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CC57c_01929 	UniRef90_M3HZJ1|429	0	0	1	0	0	0	0	0	0	0	0
PROKKA_B32_SW_01916 	UniRef90_M5IPN1|390	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CAM_02342 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CC57c_00157 	UniRef90_M3IMY4|1062	0	0	1	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_02104 	UniRef90_M5IT89|831	0	0	0	0	0	0	1	0	0	0	0
PROKKA_CAM_00424 	UniRef90_M5IQM1|939	1	0	1	1	1	0	1	1	1	0	1
PROKKA_CAM_00423 	UniRef90_C6RIZ7|114	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CC57c_01626 	UniRef90_M3JBK9|720	0	0	1	0	0	0	0	0	0	0	0
PROKKA_129_MSG_01161 	No_Uniref	0	1	0	0	0	1	0	0	0	1	0
PROKKA_CSUNSWCD_00573 	UniRef90_C6RHU8|276	0	0	0	0	1	0	1	0	0	0	0
PROKKA_CAM_02128 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_01915 	UniRef90_M5IPN1|390	1	0	0	0	0	0	0	0	0	0	0
PROKKA_CSUNSWCD_02106 	No_Uniref	0	0	1	0	0	0	1	0	0	0	0
PROKKA_CSUNSWCD_00574 	UniRef90_B9D625|144	1	0	0	0	0	0	1	0	0	0	0
PROKKA_129_MSG_01894 	UniRef90_B9D2Q1|768	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01415 	UniRef90_M3I0A7|1215	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CAM_00921 	UniRef90_B9D364|618	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_00618 	UniRef90_B9D5N0|462	1	1	0	1	1	1	1	1	0	1	1
PROKKA_129_MSG_01893 	UniRef90_M5IS90|765	1	1	1	1	1	1	1	1	1	1	1
PROKKA_ATCC51146_00251 	UniRef90_C6RE41|186	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B32_SW_00416 	UniRef90_M5IM86|1044	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_00410 	UniRef90_A7ZBR7|1242	1	1	0	0	0	1	1	0	0	1	0
PROKKA_B32_SW_00411 	UniRef90_A7ZBR8|438	1	1	0	0	0	1	1	0	0	1	0
PROKKA_B32_SW_00412 	UniRef90_A7ZBR9|963	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CSUNSWCD_02109 	UniRef90_M5IT91|621	0	0	0	0	0	0	1	0	0	0	0
PROKKA_B32_SW_00419 	UniRef90_U2F8E6|321	1	1	0	0	0	1	1	0	0	1	0
PROKKA_CC57c_01237 	UniRef90_M3IK48|330	0	0	1	0	0	0	0	0	1	0	0
PROKKA_ATCC51146_01937 	UniRef90_M3ILF9|117	0	0	0	0	1	0	0	0	0	0	0
PROKKA_B91_SCBr_00584 	No_Uniref	0	0	0	1	0	0	0	1	0	0	1
PROKKA_CSUNSWCD_00971 	UniRef90_M3J903|516	1	1	1	1	1	1	1	1	1	1	1
PROKKA_CSUNSWCD_00970 	UniRef90_M3JAY9|513	1	1	1	1	1	1	1	1	1	1	1
PROKKA_B32_SW_01893 	UniRef90_M5IQQ0|384	1	0	0	0	0	0	1	0	0	0	0
PROKKA_B91_SCBr_01113 	UniRef90_B9D0E1|507	1	1	0	1	0	1	1	1	1	1	1
PROKKA_CAM_01749 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_B32_SW_01895 	UniRef90_U2GM91|594	1	1	0	0	1	1	1	0	1	1	0
PROKKA_B91_SCBr_00429 	UniRef90_M5IRD8|450	0	0	1	1	0	0	0	1	0	0	1
PROKKA_B32_SW_00637 	UniRef90_M5IEL9|192	1	0	0	0	1	0	1	0	0	0	0
PROKKA_CAM_01431 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CAM_00554 	No_Uniref	0	0	0	0	0	0	0	0	1	0	0
PROKKA_CC57c_02078 	UniRef90_M3IHQ4|1764	0	0	1	1	0	0	0	1	0	0	1
PROKKA_CC57c_00196 	UniRef90_M5IJ10|138	1	0	1	1	0	0	1	1	0	0	1
PROKKA_B91_SCBr_00580 	UniRef90_UPI000360F1D4|249	0	0	0	1	0	0	0	1	0	0	1
